gene,chromosome,insertions,expected,p,q
ENSMUSG00000026312,1,0.0,0.49229661727057666,1.0,1.0
ENSMUSG00000026313,1,0.0,0.36931563036725323,1.0,1.0
ENSMUSG00000026315,1,0.0,0.034658278127300254,1.0,1.0
ENSMUSG00000026319,1,0.0,0.3260859501224486,1.0,1.0
ENSMUSG00000026321,1,0.0,0.10583818266831474,1.0,1.0
ENSMUSG00000026327,1,0.0,0.034658278127300254,1.0,1.0
ENSMUSG00000026333,1,0.0,0.057018457564268155,1.0,1.0
ENSMUSG00000026335,1,0.0,0.8291899874542265,1.0,1.0
ENSMUSG00000026339,1,0.0,0.10434750403918355,1.0,1.0
ENSMUSG00000026341,1,0.0,0.13080704970626225,1.0,1.0
ENSMUSG00000026342,1,0.0,0.07751528871482206,1.0,1.0
ENSMUSG00000026343,1,0.0,0.35515418339050686,1.0,1.0
ENSMUSG00000026344,1,0.0,0.07192524385558009,1.0,1.0
ENSMUSG00000026347,1,0.0,0.31416052108939907,1.0,1.0
ENSMUSG00000026348,1,0.0,0.07639727974297367,1.0,1.0
ENSMUSG00000026349,1,0.0,0.08720469980417482,1.0,1.0
ENSMUSG00000026353,1,0.0,0.10397483438190075,1.0,1.0
ENSMUSG00000026354,1,0.0,0.05366443064872297,1.0,1.0
ENSMUSG00000026355,1,0.0,0.06298117208079293,1.0,1.0
ENSMUSG00000026356,1,0.0,0.18335347138313682,1.0,1.0
ENSMUSG00000026357,1,0.0,0.07863329768667046,1.0,1.0
ENSMUSG00000026358,1,0.0,0.013416107662180743,1.0,1.0
ENSMUSG00000026360,1,0.0,0.005590044859241976,1.0,1.0
ENSMUSG00000026361,1,0.0,0.3450921026438713,1.0,1.0
ENSMUSG00000026365,1,0.0,0.26757681392904925,1.0,1.0
ENSMUSG00000026368,1,0.0,0.0674532079681865,1.0,1.0
ENSMUSG00000026374,1,0.0,0.027204884981644282,1.0,1.0
ENSMUSG00000026377,1,0.0,0.018260813206857122,1.0,1.0
ENSMUSG00000026380,1,0.0,0.08049664597308445,1.0,1.0
ENSMUSG00000026383,1,0.0,0.2750302070747052,1.0,1.0
ENSMUSG00000026384,1,0.0,0.5563957983232181,1.0,1.0
ENSMUSG00000026385,1,0.0,0.008944071774787161,1.0,1.0
ENSMUSG00000026387,1,0.0,0.07416126179927689,1.0,1.0
ENSMUSG00000026388,1,0.0,0.12409899587517187,1.0,1.0
ENSMUSG00000026389,1,0.0,0.1162729330722331,1.0,1.0
ENSMUSG00000026390,1,0.0,0.03428560847001745,1.0,1.0
ENSMUSG00000026393,1,0.0,0.3506821475031133,1.0,1.0
ENSMUSG00000026394,1,0.0,0.04173900161567342,1.0,1.0
ENSMUSG00000026395,1,0.0,0.3052164493146119,1.0,1.0
ENSMUSG00000026398,1,0.0,0.2601234207833933,1.0,1.0
ENSMUSG00000026399,1,0.0,0.06558985968177251,1.0,1.0
ENSMUSG00000026404,1,0.0,0.05552777893513696,1.0,1.0
ENSMUSG00000026407,1,0.0,0.0689438865973177,1.0,1.0
ENSMUSG00000026409,1,0.0,0.0700618955691661,1.0,1.0
ENSMUSG00000026411,1,0.0,0.03540361744186585,1.0,1.0
ENSMUSG00000026413,1,0.0,0.04993773407589498,1.0,1.0
ENSMUSG00000026414,1,0.0,0.012298098690332347,1.0,1.0
ENSMUSG00000026415,1,0.0,0.02496886703794749,1.0,1.0
ENSMUSG00000026416,1,0.0,0.004099366230110782,1.0,1.0
ENSMUSG00000026417,1,0.0,0.03875764435741103,1.0,1.0
ENSMUSG00000026418,1,0.0,0.03354026915545186,1.0,1.0
ENSMUSG00000026420,1,0.0,0.003726696572827984,1.0,1.0
ENSMUSG00000026421,1,0.0,0.042111671272956216,1.0,1.0
ENSMUSG00000026424,1,0.0,0.009689411089352758,1.0,1.0
ENSMUSG00000026425,1,0.0,0.5672032183844191,1.0,1.0
ENSMUSG00000026426,1,0.0,0.011180089718483952,1.0,1.0
ENSMUSG00000026427,1,0.0,0.038384974700128235,1.0,1.0
ENSMUSG00000026429,1,0.0,0.03316759949816906,1.0,1.0
ENSMUSG00000026430,1,0.0,0.07602461008569088,1.0,1.0
ENSMUSG00000026432,1,0.0,0.01639746492044313,1.0,1.0
ENSMUSG00000026433,1,0.0,0.010807420061201153,1.0,1.0
ENSMUSG00000026434,1,0.0,0.06782587762546931,1.0,1.0
ENSMUSG00000026435,1,0.0,0.014534116634029138,1.0,1.0
ENSMUSG00000026436,1,0.0,0.038384974700128235,1.0,1.0
