mouse_ensembl_gene,expected,observed,p,q,gene
ENSMUSG00000021585,0.573651722068655,1,0.43653593694915777,1.0,Cast
ENSMUSG00000021587,0.573651722068655,0,1.0,1.0,Pcsk1
ENSMUSG00000021589,0.573651722068655,2,0.11330380685624099,1.0,Rhobtb3
ENSMUSG00000021590,0.573651722068655,0,1.0,1.0,Spata9
ENSMUSG00000021591,0.573651722068655,0,1.0,1.0,Glrx
ENSMUSG00000021592,0.573651722068655,1,0.43653593694915777,1.0,Arsk
ENSMUSG00000021594,0.2749129658475982,0,1.0,1.0,Srd5a1
ENSMUSG00000021595,0.2749129658475982,0,1.0,1.0,Nsun2
ENSMUSG00000021596,0.573651722068655,4,0.0028644673549255584,0.08885028668903815,Mctp1
ENSMUSG00000021597,0.573651722068655,1,0.43653593694915777,1.0,Slf1
ENSMUSG00000021598,0.2749129658475982,0,1.0,1.0,Med10
ENSMUSG00000021604,0.5663207096460523,0,1.0,1.0,Irx4
ENSMUSG00000021606,0.5663207096460523,0,1.0,1.0,Ndufs6
ENSMUSG00000021607,0.5663207096460523,0,1.0,1.0,Mrpl36
ENSMUSG00000021608,0.5663207096460523,0,1.0,1.0,Lpcat1
ENSMUSG00000021609,0.5663207096460523,0,1.0,1.0,Slc6a3
ENSMUSG00000021610,0.5663207096460523,0,1.0,1.0,Clptm1l
ENSMUSG00000021611,0.5663207096460523,0,1.0,1.0,Tert
ENSMUSG00000021612,0.5663207096460523,0,1.0,1.0,Slc6a18
ENSMUSG00000021613,0.5663207096460523,0,1.0,1.0,Hapln1
ENSMUSG00000021614,0.5663207096460523,0,1.0,1.0,Vcan
ENSMUSG00000021615,0.5663207096460523,4,0.0027365078379901864,0.08885028668903815,Xrcc4
ENSMUSG00000021619,0.5663207096460523,2,0.11094069651718114,1.0,Atg10
ENSMUSG00000021620,0.573651722068655,1,0.43653593694915777,1.0,Acot12
ENSMUSG00000021621,0.573651722068655,1,0.43653593694915777,1.0,Zcchc9
ENSMUSG00000021622,0.573651722068655,0,1.0,1.0,Ckmt2
ENSMUSG00000021624,0.5699862158573537,0,1.0,1.0,Cd180
ENSMUSG00000021629,0.5663207096460523,0,1.0,1.0,Slc30a5
ENSMUSG00000021635,0.5663207096460523,0,1.0,1.0,Rad17
ENSMUSG00000021636,0.5663207096460523,0,1.0,1.0,Marveld2
ENSMUSG00000021638,0.5663207096460523,0,1.0,1.0,Ocln
ENSMUSG00000021643,0.5553241910121484,0,1.0,1.0,Serf1
ENSMUSG00000021645,0.5553241910121484,0,1.0,1.0,Smn1
ENSMUSG00000021646,0.5553241910121484,1,0.4261138177067838,1.0,Mccc2
ENSMUSG00000021647,0.5553241910121484,0,1.0,1.0,Cartpt
ENSMUSG00000021650,0.5553241910121484,1,0.4261138177067838,1.0,Ptcd2
ENSMUSG00000021660,0.5626552034347511,0,1.0,1.0,Btf3
ENSMUSG00000021661,0.5626552034347511,0,1.0,1.0,Ankra2
ENSMUSG00000021662,0.573651722068655,1,0.43653593694915777,1.0,Arhgef28
ENSMUSG00000021665,0.573651722068655,0,1.0,1.0,Hexb
ENSMUSG00000021666,0.573651722068655,0,1.0,1.0,Gfm2
ENSMUSG00000021668,0.573651722068655,0,1.0,1.0,Polk
ENSMUSG00000021669,0.573651722068655,1,0.43653593694915777,1.0,Col4a3bp
ENSMUSG00000021670,0.573651722068655,1,0.43653593694915777,1.0,Hmgcr
ENSMUSG00000021671,0.573651722068655,0,1.0,1.0,Poc5
ENSMUSG00000021675,0.0971359145994847,0,1.0,1.0,F2rl2
ENSMUSG00000021676,0.0971359145994847,0,1.0,1.0,Iqgap2
ENSMUSG00000021678,0.0971359145994847,0,1.0,1.0,F2rl1
ENSMUSG00000021679,0.0971359145994847,0,1.0,1.0,S100z
ENSMUSG00000021680,0.0971359145994847,0,1.0,1.0,Crhbp
ENSMUSG00000021681,0.0971359145994847,0,1.0,1.0,Aggf1
ENSMUSG00000021684,0.0971359145994847,0,1.0,1.0,Pde8b
ENSMUSG00000021685,0.0971359145994847,0,1.0,1.0,Otp
ENSMUSG00000021686,0.0971359145994847,1,0.09256733559565015,1.0,Ap3b1
ENSMUSG00000021687,0.0971359145994847,0,1.0,1.0,Scamp1
ENSMUSG00000021690,0.573651722068655,1,0.43653593694915777,1.0,Jmy
ENSMUSG00000021692,0.4105366956657467,1,0.3367058325139457,1.0,Dimt1
ENSMUSG00000021693,0.4105366956657467,0,1.0,1.0,Kif2a
ENSMUSG00000021694,0.573651722068655,0,1.0,1.0,Ercc8
ENSMUSG00000021696,0.573651722068655,2,0.11330380685624099,1.0,Elovl7
ENSMUSG00000021697,0.573651722068655,1,0.43653593694915777,1.0,Depdc1b
ENSMUSG00000021699,0.573651722068655,9,1.1077740421516472e-08,3.0647819588753555e-06,Pde4d
ENSMUSG00000021700,0.573651722068655,5,0.0003220421377530797,0.017102132473308284,Rab3c
ENSMUSG00000021701,0.573651722068655,0,1.0,1.0,Plk2
ENSMUSG00000021702,0.573651722068655,0,1.0,1.0,Thbs4
ENSMUSG00000021703,0.573651722068655,0,1.0,1.0,Serinc5
ENSMUSG00000021704,0.573651722068655,0,1.0,1.0,Mtx3
ENSMUSG00000021706,0.573651722068655,0,1.0,1.0,Zfyve16
ENSMUSG00000021707,0.573651722068655,0,1.0,1.0,Dhfr
ENSMUSG00000021708,0.573651722068655,1,0.43653593694915777,1.0,Rasgrf2
ENSMUSG00000021709,0.573651722068655,2,0.11330380685624099,1.0,Erbin
ENSMUSG00000021710,0.573651722068655,1,0.43653593694915777,1.0,Nln
ENSMUSG00000021711,0.573651722068655,0,1.0,1.0,Trappc13
ENSMUSG00000021712,0.573651722068655,1,0.43653593694915777,1.0,Trim23
ENSMUSG00000021713,0.573651722068655,0,1.0,1.0,Ppwd1
ENSMUSG00000021714,0.573651722068655,1,0.43653593694915777,1.0,Cenpk
ENSMUSG00000021715,0.573651722068655,3,0.0205924728283804,0.38435548033210987,Cwc27
ENSMUSG00000021716,0.573651722068655,0,1.0,1.0,Srek1ip1
ENSMUSG00000021719,0.573651722068655,0,1.0,1.0,Rgs7bp
ENSMUSG00000021720,0.573651722068655,3,0.0205924728283804,0.38435548033210987,Rnf180
ENSMUSG00000021721,0.4105366956657467,0,1.0,1.0,Htr1a
ENSMUSG00000021725,0.573651722068655,2,0.11330380685624099,1.0,Parp8
ENSMUSG00000021728,0.573651722068655,3,0.0205924728283804,0.38435548033210987,Emb
ENSMUSG00000021730,0.573651722068655,6,3.0348816940726304e-05,0.0025644002807107304,Hcn1
ENSMUSG00000021731,0.573651722068655,0,1.0,1.0,Mrps30
ENSMUSG00000021732,0.573651722068655,0,1.0,1.0,Fgf10
ENSMUSG00000021733,0.5186691288991353,1,0.4046876950672762,1.0,Slc4a7
ENSMUSG00000021737,0.5186691288991353,0,1.0,1.0,Psmd6
ENSMUSG00000021738,0.5186691288991353,2,0.09591758044488394,1.0,Atxn7
ENSMUSG00000021743,0.5333311537443406,0,1.0,1.0,Fezf2
ENSMUSG00000021745,0.5333311537443406,2,0.10047511480652548,1.0,Ptprg
ENSMUSG00000021747,0.2987387562210567,4,0.0002616304147634172,0.017102132473308284,4930452B06Rik
ENSMUSG00000021748,0.2987387562210567,0,1.0,1.0,Pdhb
ENSMUSG00000021749,0.2987387562210567,0,1.0,1.0,Oit1
ENSMUSG00000021750,0.2987387562210567,0,1.0,1.0,Fam107a
ENSMUSG00000021751,0.2987387562210567,0,1.0,1.0,Acox2
ENSMUSG00000021752,0.2987387562210567,0,1.0,1.0,Kctd6
ENSMUSG00000021754,0.5663207096460523,4,0.0027365078379901864,0.08885028668903815,Map3k1
ENSMUSG00000021756,0.5663207096460523,0,1.0,1.0,Il6st
ENSMUSG00000021758,0.5663207096460523,0,1.0,1.0,Ddx4
ENSMUSG00000021759,0.5663207096460523,2,0.11094069651718114,1.0,Plpp1
ENSMUSG00000021760,0.5663207096460523,0,1.0,1.0,Gpx8
ENSMUSG00000021764,0.5663207096460523,1,0.4323899965009572,1.0,Ndufs4
ENSMUSG00000021765,0.5663207096460523,0,1.0,1.0,Fst
ENSMUSG00000021767,0.5663207096460523,3,0.01991899867616174,0.38435548033210987,Kat6b
ENSMUSG00000021768,0.5663207096460523,0,1.0,1.0,Dusp13
ENSMUSG00000021770,0.5663207096460523,2,0.11094069651718114,1.0,Samd8
ENSMUSG00000021771,0.5663207096460523,0,1.0,1.0,Vdac2
ENSMUSG00000021772,0.573651722068655,0,1.0,1.0,Nkiras1
ENSMUSG00000021773,0.5663207096460523,0,1.0,1.0,Comtd1
ENSMUSG00000021774,0.573651722068655,2,0.11330380685624099,1.0,Ube2e1
ENSMUSG00000021775,0.573651722068655,0,1.0,1.0,Nr1d2
ENSMUSG00000021779,0.573651722068655,3,0.0205924728283804,0.38435548033210987,Thrb
ENSMUSG00000021782,0.5663207096460523,2,0.11094069651718114,1.0,Dlg5
ENSMUSG00000021785,0.5663207096460523,0,1.0,1.0,Ngly1
ENSMUSG00000021786,0.5663207096460523,0,1.0,1.0,Oxsm
ENSMUSG00000021789,0.573651722068655,0,1.0,1.0,Sftpa1
ENSMUSG00000021790,0.573651722068655,0,1.0,1.0,Dydc1
ENSMUSG00000021791,0.573651722068655,0,1.0,1.0,Dydc2
ENSMUSG00000021792,0.573651722068655,0,1.0,1.0,Prxl2a
ENSMUSG00000021794,0.573651722068655,0,1.0,1.0,Glud1
ENSMUSG00000021795,0.573651722068655,0,1.0,1.0,Sftpd
ENSMUSG00000021796,0.573651722068655,1,0.43653593694915777,1.0,Bmpr1a
ENSMUSG00000021798,0.573651722068655,1,0.43653593694915777,1.0,Ldb3
ENSMUSG00000021799,0.573651722068655,0,1.0,1.0,Opn4
ENSMUSG00000021803,0.5406621661669432,0,1.0,1.0,Cdhr1
ENSMUSG00000021804,0.5406621661669432,0,1.0,1.0,Rgr
ENSMUSG00000021806,0.5663207096460523,2,0.11094069651718114,1.0,Nid2
ENSMUSG00000021807,0.5663207096460523,0,1.0,1.0,Rtraf
ENSMUSG00000021809,0.5663207096460523,1,0.4323899965009572,1.0,Nudt13
ENSMUSG00000021810,0.5663207096460523,0,1.0,1.0,Ecd
ENSMUSG00000021811,0.5663207096460523,0,1.0,1.0,Dnajc9
ENSMUSG00000021814,0.5663207096460523,0,1.0,1.0,Anxa7
ENSMUSG00000021815,0.5663207096460523,0,1.0,1.0,Mss51
